Dataset,Rule,support,confidence
compas,"{'n_recidive', 'priors_Few', 'c_felony'} -> {'risk_low'}",0.164,1.0
compas,"{'n_recidive', 'juv_fel=0', 'priors_Few', 'c_felony'} -> {'risk_low'}",0.162,1.0
compas,"{'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.273,1.0
compas,"{'priors_No', 'male'} -> {'risk_low'}",0.199,1.0
compas,"{'priors_No', 'juv_fel=0'} -> {'risk_low'}",0.273,1.0
compas,"{'priors_No', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.273,1.0
compas,"{'priors_Few', 'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.182,1.0
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.245,1.0
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.199,1.0
compas,"{'n_recidive', 'priors_Few', 'juv_fel=0', 'male'} -> {'risk_low'}",0.202,1.0
compas,"{'n_recidive', 'priors_Few', 'male'} -> {'risk_low'}",0.205,1.0
compas,"{'c_felony', 'juv_fel=0', 'n_white', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.171,1.0
compas,"{'n_recidive', 'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.252,1.0
compas,"{'n_recidive', 'priors_Few'} -> {'risk_low'}",0.256,1.0
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.248,1.0
compas,"{'priors_No', 'juv_misd=0', 'male'} -> {'risk_low'}",0.199,1.0
compas,"{'priors_No', 'juv_fel=0', 'male'} -> {'risk_low'}",0.199,1.0
compas,"{'priors_No', 'juv_misd=0', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.19,1.0
compas,"{'priors_No', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.19,1.0
compas,"{'priors_Few', 'juv_misd=0', 'juv_fel=0', 'male'} -> {'risk_low'}",0.357,1.0
compas,"{'recidive', 'juv_fel=0', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.162,1.0
compas,"{'recidive', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.203,1.0
compas,"{'c_felony', 'juv_fel=0', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.234,1.0
compas,"{'juv_fel=0', 'priors_Few', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.296,1.0
compas,"{'juv_fel=0', 'n_white', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.197,1.0
compas,"{'n_white', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.249,1.0
compas,"{'priors_No', 'juv_misd=0', 'juv_fel=0', 'male'} -> {'risk_low'}",0.199,1.0
compas,"{'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.448,1.0
compas,"{'priors_No', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.19,1.0
compas,"{'priors_No', 'n_recidive'} -> {'risk_low'}",0.19,1.0
compas,"{'juv_fel=0', 'n_recidive', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.196,1.0
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.158,1.0
compas,"{'juv_misd=0', 'priors_Few', 'white', 'juv_fel=0'} -> {'risk_low'}",0.198,1.0
compas,"{'priors_Few', 'white', 'male'} -> {'risk_low'}",0.172,1.0
compas,"{'c_misdemeanor', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.152,1.0
compas,"{'c_misdemeanor', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.154,1.0
compas,{'priors_No'} -> {'risk_low'},0.273,1.0
compas,"{'priors_Few', 'white'} -> {'risk_low'}",0.21,1.0
compas,"{'priors_Few', 'white', 'juv_fel=0'} -> {'risk_low'}",0.207,1.0
compas,"{'priors_Few', 'white', 'juv_fel=0', 'male'} -> {'risk_low'}",0.169,1.0
compas,"{'juv_misd=0', 'priors_Few', 'white'} -> {'risk_low'}",0.201,1.0
compas,"{'juv_misd=0', 'priors_Few', 'white', 'male'} -> {'risk_low'}",0.163,1.0
compas,"{'white', 'juv_fel=0', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.16,1.0
compas,"{'c_felony', 'juv_fel=0', 'n_recidive', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.156,1.0
compas,"{'c_misdemeanor', 'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.161,1.0
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.172,1.0
compas,"{'n_recidive', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.175,1.0
compas,"{'n_recidive', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.18,1.0
compas,"{'c_misdemeanor', 'priors_Few'} -> {'risk_low'}",0.164,1.0
compas,"{'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.476,0.998
compas,"{'n_recidive', 'white'} -> {'risk_low'}",0.232,0.998
compas,"{'n_recidive', 'white', 'juv_fel=0'} -> {'risk_low'}",0.231,0.998
compas,"{'juv_misd=0', 'white', 'n_recidive'} -> {'risk_low'}",0.23,0.998
compas,"{'juv_misd=0', 'white', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.229,0.998
compas,"{'n_recidive', 'c_misdemeanor', 'juv_misd=0'} -> {'risk_low'}",0.195,0.997
compas,"{'priors_Few', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.194,0.997
compas,"{'n_recidive', 'c_misdemeanor', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.193,0.997
compas,"{'priors_Few', 'juv_fel=0', 'male'} -> {'risk_low'}",0.383,0.997
compas,"{'n_recidive', 'Age (decade)_20.0'} -> {'risk_low'}",0.184,0.997
compas,"{'n_recidive', 'white', 'male'} -> {'risk_low'}",0.177,0.997
compas,"{'n_recidive', 'white', 'juv_fel=0', 'male'} -> {'risk_low'}",0.176,0.997
compas,"{'juv_misd=0', 'white', 'n_recidive', 'male'} -> {'risk_low'}",0.175,0.997
compas,"{'white', 'juv_fel=0', 'n_recidive', 'juv_misd=0', 'male'} -> {'risk_low'}",0.174,0.997
