antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"frozenset({'white', 'male', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.892,0.175,0.997,,,0.173,0.991,,
"frozenset({'n_recidive', 'male', 'juv_fel=0', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.891,0.174,0.997,,,0.173,0.991,,
"frozenset({'white', 'male', 'n_recidive'})",frozenset({'risk_low'}),0.158,0.89,0.177,0.997,,,0.175,0.985,,
"frozenset({'juv_fel=0', 'male', 'white', 'n_recidive'})",frozenset({'risk_low'}),0.157,0.89,0.176,0.997,,,0.174,0.985,,
"frozenset({'white', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.198,0.861,0.23,0.998,,,0.227,0.986,,
"frozenset({'juv_fel=0', 'white', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.198,0.861,0.229,0.998,,,0.227,0.986,,
"frozenset({'white', 'n_recidive'})",frozenset({'risk_low'}),0.2,0.86,0.232,0.998,,,0.228,0.981,,
"frozenset({'white', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),0.199,0.86,0.231,0.998,,,0.228,0.981,,
"frozenset({'juv_fel=0', 'priors_No', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.162,0.854,0.19,1.0,0.165,0.869,,,,
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.162,0.854,0.19,1.0,0.165,0.869,,,,
"frozenset({'juv_misd=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.162,0.854,0.19,1.0,0.165,0.869,,,,
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.162,0.854,0.19,1.0,0.165,0.869,,,,
"frozenset({'juv_fel=0', 'male', 'priors_No'})",frozenset({'risk_low'}),0.16,0.804,0.199,1.0,0.16,0.807,,,,
"frozenset({'male', 'priors_No'})",frozenset({'risk_low'}),0.16,0.804,0.199,1.0,0.16,0.807,,,,
"frozenset({'juv_fel=0', 'male', 'juv_misd=0', 'priors_No'})",frozenset({'risk_low'}),0.16,0.804,0.199,1.0,0.16,0.807,,,,
"frozenset({'male', 'juv_misd=0', 'priors_No'})",frozenset({'risk_low'}),0.16,0.804,0.199,1.0,0.16,0.807,,,,
