Dataset,Rule,support,confidence
compas,"{'Age (decade)_20.0', 'recidive', 'c_felony'} -> {'risk_high'}",0.16,0.949
compas,"{'n_white', 'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.165,0.941
compas,"{'juv_fel=0', 'n_white', 'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.151,0.936
compas,"{'male', 'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.185,0.929
compas,"{'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.218,0.924
compas,"{'juv_fel=0', 'male', 'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.17,0.924
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.202,0.919
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'recidive', 'male'} -> {'risk_high'}",0.152,0.915
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'recidive'} -> {'risk_high'}",0.184,0.911
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'juv_misd=0', 'recidive'} -> {'risk_high'}",0.171,0.905
compas,"{'Age (decade)_20.0', 'n_white', 'c_felony', 'male'} -> {'risk_high'}",0.153,0.898
compas,"{'Age (decade)_20.0', 'male', 'priors_Few'} -> {'risk_high'}",0.164,0.893
compas,"{'Age (decade)_20.0', 'priors_Few'} -> {'risk_high'}",0.197,0.89
compas,"{'Age (decade)_20.0', 'n_white', 'c_felony'} -> {'risk_high'}",0.178,0.882
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'priors_Few'} -> {'risk_high'}",0.182,0.882
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'priors_Few'} -> {'risk_high'}",0.17,0.875
compas,"{'male', 'Age (decade)_20.0', 'c_felony'} -> {'risk_high'}",0.208,0.874
compas,"{'juv_fel=0', 'n_white', 'Age (decade)_20.0', 'c_felony'} -> {'risk_high'}",0.165,0.874
compas,"{'juv_fel=0', 'priors_Few', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_high'}",0.158,0.866
compas,"{'juv_fel=0', 'male', 'Age (decade)_20.0', 'c_felony'} -> {'risk_high'}",0.192,0.866
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'n_white', 'c_felony'} -> {'risk_high'}",0.152,0.864
compas,"{'Age (decade)_20.0', 'c_felony'} -> {'risk_high'}",0.247,0.864
compas,"{'male', 'n_white', 'Age (decade)_20.0'} -> {'risk_high'}",0.207,0.86
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'c_felony'} -> {'risk_high'}",0.231,0.855
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'c_felony', 'male'} -> {'risk_high'}",0.176,0.855
compas,"{'juv_fel=0', 'male', 'n_white', 'Age (decade)_20.0'} -> {'risk_high'}",0.191,0.851
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'Age (decade)_20.0', 'c_felony'} -> {'risk_high'}",0.164,0.846
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'c_felony'} -> {'risk_high'}",0.215,0.846
compas,"{'Age (decade)_20.0', 'n_white'} -> {'risk_high'}",0.247,0.843
compas,"{'male', 'Age (decade)_20.0'} -> {'risk_high'}",0.287,0.838
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'juv_misd=0', 'c_felony'} -> {'risk_high'}",0.202,0.838
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'n_white', 'male'} -> {'risk_high'}",0.173,0.838
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'n_white'} -> {'risk_high'}",0.23,0.833
compas,"{'juv_fel=0', 'male', 'Age (decade)_20.0'} -> {'risk_high'}",0.268,0.829
compas,"{'juv_misd=0', 'juv_fel=0', 'male', 'n_white', 'Age (decade)_20.0'} -> {'risk_high'}",0.162,0.828
compas,{'Age (decade)_20.0'} -> {'risk_high'},0.346,0.823
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'n_white'} -> {'risk_high'}",0.211,0.821
compas,"{'male', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_high'}",0.245,0.816
compas,"{'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_high'}",0.326,0.815
compas,"{'juv_fel=0', 'n_white', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_high'}",0.198,0.812
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_high'}",0.23,0.806
compas,"{'Age (decade)_20.0', 'juv_misd=0'} -> {'risk_high'}",0.302,0.803
